DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,Category
2020-05-02 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,43,"{'Number': 1, 'Name': 'Good'}"
2020-05-02 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,20,"{'Number': 1, 'Name': 'Good'}"
2020-05-03 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,47,"{'Number': 1, 'Name': 'Good'}"
2020-05-03 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,37,"{'Number': 1, 'Name': 'Good'}"
2020-05-04 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,47,"{'Number': 1, 'Name': 'Good'}"
2020-05-04 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,17,"{'Number': 1, 'Name': 'Good'}"
2020-05-05 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,29,"{'Number': 1, 'Name': 'Good'}"
2020-05-05 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,19,"{'Number': 1, 'Name': 'Good'}"
2020-05-06 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,39,"{'Number': 1, 'Name': 'Good'}"
2020-05-06 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,17,"{'Number': 1, 'Name': 'Good'}"
2020-05-07 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,46,"{'Number': 1, 'Name': 'Good'}"
2020-05-07 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,16,"{'Number': 1, 'Name': 'Good'}"
2020-05-08 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,44,"{'Number': 1, 'Name': 'Good'}"
2020-05-08 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,20,"{'Number': 1, 'Name': 'Good'}"
2020-05-09 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,40,"{'Number': 1, 'Name': 'Good'}"
2020-05-09 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,15,"{'Number': 1, 'Name': 'Good'}"
2020-05-10 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,42,"{'Number': 1, 'Name': 'Good'}"
2020-05-10 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,22,"{'Number': 1, 'Name': 'Good'}"
2020-05-11 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,38,"{'Number': 1, 'Name': 'Good'}"
2020-05-11 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,18,"{'Number': 1, 'Name': 'Good'}"
2020-05-12 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,34,"{'Number': 1, 'Name': 'Good'}"
2020-05-12 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,21,"{'Number': 1, 'Name': 'Good'}"
2020-05-13 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,46,"{'Number': 1, 'Name': 'Good'}"
2020-05-13 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,24,"{'Number': 1, 'Name': 'Good'}"
2020-05-14 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,44,"{'Number': 1, 'Name': 'Good'}"
2020-05-14 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,40,"{'Number': 1, 'Name': 'Good'}"
2020-05-15 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,45,"{'Number': 1, 'Name': 'Good'}"
2020-05-15 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,38,"{'Number': 1, 'Name': 'Good'}"
2020-05-16 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,47,"{'Number': 1, 'Name': 'Good'}"
2020-05-16 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,35,"{'Number': 1, 'Name': 'Good'}"
2020-05-17 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,41,"{'Number': 1, 'Name': 'Good'}"
2020-05-17 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,38,"{'Number': 1, 'Name': 'Good'}"
2020-05-18 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,34,"{'Number': 1, 'Name': 'Good'}"
2020-05-18 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,18,"{'Number': 1, 'Name': 'Good'}"
2020-05-19 ,0,EST,Richmond,VA,37.531,-77.475,OZONE,35,"{'Number': 1, 'Name': 'Good'}"
2020-05-19 ,0,EST,Richmond,VA,37.531,-77.475,PM2.5,28,"{'Number': 1, 'Name': 'Good'}"
